回答ID,回答日,拠点名,接客対応_評価,接客対応_コメント,清潔さ_評価,清潔さ_コメント,設備_評価,設備_コメント,対応スピード_評価,対応スピード_コメント,総合満足度_評価,総合満足度_コメント
R00019,2026-07-26,砂丘 休暇村,3,特に問題はありませんでした,5,,4,駐車場が広くて停めやすかったです,4,案内が早くて助かりました,4,
R00020,2026-07-26,砂丘 休暇村,,,4,清掃が行き届いていました,5,温泉がとても良かったです,5,,5,
R00021,2026-07-23,砂丘 休暇村,5,,,清潔さは普通でした,4,,2,食事の提供が遅く感じました,1,
R00022,2026-07-15,砂丘 休暇村,5,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,5,,4,案内が早くて助かりました,1,次は利用しないかもしれません
R00023,2026-07-08,砂丘 休暇村,5,,2,,4,部屋が新しく快適でした,3,,5,また利用したいと思います
R00024,2026-07-25,砂丘 休暇村,3,,5,清掃が行き届いていました,4,,5,,4,
R00025,2026-07-23,砂丘 休暇村,3,特に問題はありませんでした,1,,4,温泉がとても良かったです,1,チェックインの待ち時間が長く感じました,5,
R00026,2026-07-01,砂丘 休暇村,5,質問にすぐ答えてくれて助かりました,2,,1,,3,,5,家族にもすすめたいです
R00027,2026-07-02,砂丘 休暇村,,,4,,4,部屋が新しく快適でした,5,チェックインがスムーズでした,4,また利用したいと思います
R00028,2026-07-27,砂丘 休暇村,4,質問にすぐ答えてくれて助かりました,4,,3,設備は必要十分でした,5,,2,次は利用しないかもしれません
R00029,2026-07-31,砂丘 休暇村,4,質問にすぐ答えてくれて助かりました,3,,4,駐車場が広くて停めやすかったです,4,,3,
R00030,2026-07-18,砂丘 休暇村,2,,5,清掃が行き届いていました,5,部屋が新しく快適でした,3,,5,期待以上のサービスでした
R00031,2026-07-23,砂丘 休暇村,,,4,,1,,3,待ち時間は許容範囲でした,1,
R00032,2026-07-05,砂丘 休暇村,5,,1,,4,部屋が新しく快適でした,1,,4,また利用したいと思います
R00033,2026-07-30,砂丘 休暇村,4,笑顔で挨拶していただき気持ちよかったです,2,,5,駐車場が広くて停めやすかったです,5,,4,
R00034,2026-07-24,砂丘 休暇村,1,,4,清掃が行き届いていました,3,設備は必要十分でした,5,,5,
R00035,2026-07-12,砂丘 休暇村,4,,4,館内がとても清潔で気持ちよかったです,5,,5,案内が早くて助かりました,5,
R00036,2026-07-07,砂丘 休暇村,4,,5,,5,,4,,4,家族にもすすめたいです
R00037,2026-07-29,砂丘 休暇村,4,質問にすぐ答えてくれて助かりました,3,清潔さは普通でした,5,,4,,5,
R00038,2026-07-18,砂丘 休暇村,4,,2,床が汚れているのが気になりました,2,空調の効きが悪かったです,3,待ち時間は許容範囲でした,4,
R00039,2026-07-01,砂丘 休暇村,5,,5,,4,駐車場が広くて停めやすかったです,3,,4,また利用したいと思います
R00040,2026-07-26,砂丘 休暇村,5,,2,大浴場の清掃が行き届いていませんでした,5,温泉がとても良かったです,4,,4,
R00041,2026-07-17,砂丘 休暇村,5,笑顔で挨拶していただき気持ちよかったです,1,,4,温泉がとても良かったです,4,,5,また利用したいと思います
R00042,2026-07-10,砂丘 休暇村,1,挨拶がなく残念でした,5,,4,,5,案内が早くて助かりました,4,
R00043,2026-07-26,砂丘 休暇村,4,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,5,,4,,5,
R00044,2026-07-26,砂丘 休暇村,5,笑顔で挨拶していただき気持ちよかったです,5,,5,,4,チェックインがスムーズでした,4,
R00045,2026-07-09,砂丘 休暇村,4,質問にすぐ答えてくれて助かりました,5,,4,,5,案内が早くて助かりました,3,
R00046,2026-07-16,砂丘 休暇村,5,笑顔で挨拶していただき気持ちよかったです,4,清掃が行き届いていました,5,温泉がとても良かったです,1,,3,可もなく不可もなくという印象です
R00047,2026-07-21,砂丘 休暇村,4,,3,,4,駐車場が広くて停めやすかったです,5,,4,
R00048,2026-07-20,砂丘 休暇村,4,笑顔で挨拶していただき気持ちよかったです,4,,4,,4,,4,また利用したいと思います
R00049,2026-07-02,砂丘 休暇村,5,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,5,,5,チェックインがスムーズでした,,
R00050,2026-07-25,砂丘 休暇村,4,スタッフの対応がとても丁寧でした,5,,5,,5,案内が早くて助かりました,5,また利用したいと思います
R00051,2026-07-13,砂丘 休暇村,3,,5,,4,温泉がとても良かったです,5,,4,
R00052,2026-07-17,砂丘 休暇村,5,,5,清掃が行き届いていました,3,,3,待ち時間は許容範囲でした,3,
R00053,2026-07-16,砂丘 休暇村,5,,5,,,設備は必要十分でした,2,,3,
R00054,2026-07-28,砂丘 休暇村,1,挨拶がなく残念でした,4,館内がとても清潔で気持ちよかったです,2,,3,,4,
R00055,2026-07-30,砂丘 休暇村,3,,5,,5,,3,待ち時間は許容範囲でした,4,家族にもすすめたいです
R00056,2026-07-22,砂丘 休暇村,5,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,5,部屋が新しく快適でした,4,案内が早くて助かりました,3,
R00057,2026-08-02,砂丘 休暇村,5,,5,,1,設備が古く感じました,4,,5,家族にもすすめたいです
R00058,2026-08-06,砂丘 休暇村,2,,3,清潔さは普通でした,4,,5,,4,
R00059,2026-08-17,砂丘 休暇村,5,,,,,設備は必要十分でした,4,チェックインがスムーズでした,5,
R00060,2026-08-06,砂丘 休暇村,5,笑顔で挨拶していただき気持ちよかったです,2,大浴場の清掃が行き届いていませんでした,4,,5,,4,
R00061,2026-08-12,砂丘 休暇村,5,,5,,4,温泉がとても良かったです,4,案内が早くて助かりました,5,期待以上のサービスでした
R00062,2026-08-02,砂丘 休暇村,3,,,清潔さは普通でした,5,温泉がとても良かったです,,待ち時間は許容範囲でした,4,期待以上のサービスでした
R00063,2026-08-05,砂丘 休暇村,5,質問にすぐ答えてくれて助かりました,2,床が汚れているのが気になりました,4,部屋が新しく快適でした,5,,4,
R00064,2026-08-11,砂丘 休暇村,5,,5,,3,設備は必要十分でした,1,チェックインの待ち時間が長く感じました,4,
R00065,2026-08-08,砂丘 休暇村,5,,5,館内がとても清潔で気持ちよかったです,3,,3,待ち時間は許容範囲でした,4,
R00066,2026-08-11,砂丘 休暇村,4,,3,,5,,3,待ち時間は許容範囲でした,4,また利用したいと思います
R00067,2026-08-13,砂丘 休暇村,4,質問にすぐ答えてくれて助かりました,,,2,設備が古く感じました,5,チェックインがスムーズでした,4,また利用したいと思います
R00068,2026-08-11,砂丘 休暇村,4,,2,大浴場の清掃が行き届いていませんでした,4,部屋が新しく快適でした,5,,2,
R00069,2026-08-01,砂丘 休暇村,4,,3,清潔さは普通でした,4,駐車場が広くて停めやすかったです,4,,,可もなく不可もなくという印象です
R00070,2026-08-14,砂丘 休暇村,4,スタッフの対応がとても丁寧でした,5,,5,部屋が新しく快適でした,1,,4,
R00071,2026-08-12,砂丘 休暇村,1,説明が分かりにくかったです,3,清潔さは普通でした,3,設備は必要十分でした,1,チェックインの待ち時間が長く感じました,4,家族にもすすめたいです
R00072,2026-08-06,砂丘 休暇村,1,,4,,3,設備は必要十分でした,5,,5,
R00073,2026-08-18,砂丘 休暇村,4,,4,清掃が行き届いていました,5,温泉がとても良かったです,3,待ち時間は許容範囲でした,5,
R00074,2026-08-01,砂丘 休暇村,5,笑顔で挨拶していただき気持ちよかったです,3,,5,温泉がとても良かったです,5,チェックインがスムーズでした,3,
R00075,2026-08-08,砂丘 休暇村,5,,4,館内がとても清潔で気持ちよかったです,4,駐車場が広くて停めやすかったです,5,チェックインがスムーズでした,5,
R00076,2026-08-14,砂丘 休暇村,5,スタッフの対応がとても丁寧でした,5,館内がとても清潔で気持ちよかったです,4,,3,,3,
R00077,2026-08-18,砂丘 休暇村,1,,4,,1,,5,案内が早くて助かりました,3,
R00078,2026-08-08,砂丘 休暇村,5,,3,,4,部屋が新しく快適でした,4,,5,期待以上のサービスでした
R00079,2026-08-04,砂丘 休暇村,5,,4,,5,,4,,4,
R00080,2026-08-10,砂丘 休暇村,5,スタッフの対応がとても丁寧でした,5,清掃が行き届いていました,5,駐車場が広くて停めやすかったです,3,,3,
R00081,2026-08-08,砂丘 休暇村,4,スタッフの対応がとても丁寧でした,4,,5,駐車場が広くて停めやすかったです,2,食事の提供が遅く感じました,5,また利用したいと思います
R00082,2026-08-15,砂丘 休暇村,3,,5,清掃が行き届いていました,,設備は必要十分でした,4,,3,
R00083,2026-08-17,砂丘 休暇村,3,特に問題はありませんでした,5,,4,駐車場が広くて停めやすかったです,2,食事の提供が遅く感じました,4,家族にもすすめたいです
R00084,2026-08-07,砂丘 休暇村,3,特に問題はありませんでした,4,館内がとても清潔で気持ちよかったです,5,温泉がとても良かったです,5,案内が早くて助かりました,2,次は利用しないかもしれません
R00085,2026-08-19,砂丘 休暇村,3,普通の対応でした,4,清掃が行き届いていました,4,,5,,5,家族にもすすめたいです
R00086,2026-08-13,砂丘 休暇村,3,,4,,3,設備は必要十分でした,2,,3,
R00087,2026-08-10,砂丘 休暇村,5,,5,,1,Wi-Fiが繋がりにくかったです,1,食事の提供が遅く感じました,2,価格の割に満足度が低いと感じました
R00088,2026-08-12,砂丘 休暇村,5,,4,館内がとても清潔で気持ちよかったです,3,設備は必要十分でした,5,チェックインがスムーズでした,4,
R00089,2026-08-10,砂丘 休暇村,3,,3,,4,部屋が新しく快適でした,4,,5,家族にもすすめたいです
R00090,2026-08-16,砂丘 休暇村,5,,4,,3,,4,案内が早くて助かりました,1,価格の割に満足度が低いと感じました
R00091,2026-08-11,砂丘 休暇村,4,,1,,3,設備は必要十分でした,4,,1,
R00092,2026-08-10,砂丘 休暇村,2,,3,清潔さは普通でした,3,,3,,3,
R00093,2026-08-01,砂丘 休暇村,1,,5,,,,,待ち時間は許容範囲でした,,
R00094,2026-08-01,砂丘 休暇村,3,,5,館内がとても清潔で気持ちよかったです,5,,5,案内が早くて助かりました,4,
R00095,2026-08-03,砂丘 休暇村,3,普通の対応でした,5,,4,,4,チェックインがスムーズでした,5,期待以上のサービスでした
R00096,2026-08-11,砂丘 休暇村,5,,5,,4,,4,,,
R00097,2026-08-10,砂丘 休暇村,5,,5,館内がとても清潔で気持ちよかったです,5,駐車場が広くて停めやすかったです,3,,5,また利用したいと思います
R00098,2026-08-01,砂丘 休暇村,4,,5,,3,,5,,5,
R00099,2026-08-06,砂丘 休暇村,5,,3,,5,,2,食事の提供が遅く感じました,5,
R00100,2026-08-16,砂丘 休暇村,4,,3,,4,部屋が新しく快適でした,5,,5,
R00101,2026-08-10,砂丘 休暇村,5,,4,,5,,5,チェックインがスムーズでした,5,期待以上のサービスでした
R00102,2026-08-04,砂丘 休暇村,5,,5,,4,部屋が新しく快適でした,3,待ち時間は許容範囲でした,4,
R00103,2026-08-10,砂丘 休暇村,3,,2,,4,,3,,5,家族にもすすめたいです
R00104,2026-08-18,砂丘 休暇村,1,,4,,4,温泉がとても良かったです,4,,4,家族にもすすめたいです
R00007,2026-07-29,砂丘 休暇村,3,,5,,5,,2,,3,可もなく不可もなくという印象です
