回答ID,回答日,拠点名,接客対応_評価,接客対応_コメント,清潔さ_評価,清潔さ_コメント,設備_評価,設備_コメント,対応スピード_評価,対応スピード_コメント,総合満足度_評価,総合満足度_コメント
R00020,2026-08-01,札幌店,3,,5,,5,設備が新しく快適でした,1,,4,
R00021,2026-08-18,札幌店,4,,3,,1,,3,,2,
R00022,2026-08-01,札幌店,4,質問にすぐ答えてくれて助かりました,5,清掃が行き届いていました,4,設備が新しく快適でした,1,対応が遅く感じました,5,
R00023,2026-08-17,札幌店,5,スタッフの対応がとても丁寧でした,5,,1,,4,案内が早くて助かりました,5,
R00024,2026-08-15,札幌店,3,特に問題はありませんでした,2,匂いが気になりました,5,,5,,4,
R00025,2026-08-16,札幌店,5,,5,,4,,5,,5,また利用したいと思います
R00026,2026-08-04,札幌店,5,,3,清潔さは普通でした,4,,5,,5,また利用したいと思います
R00027,2026-08-16,札幌店,4,,3,,5,,5,,4,
R00028,2026-08-01,札幌店,3,,1,,1,駐車場が狭くて停めにくかったです,1,,3,
R00029,2026-08-10,札幌店,2,,4,清掃が行き届いていました,3,設備は必要十分でした,3,,4,
R00030,2026-07-29,函館店,5,,2,,4,,2,,2,
R00031,2026-07-08,函館店,2,,5,清掃が行き届いていました,1,空調の効きが悪かったです,4,,3,
R00032,2026-07-20,函館店,5,,4,店内がとても清潔で気持ちよかったです,2,,5,,4,
R00033,2026-07-24,函館店,5,笑顔で挨拶していただき気持ちよかったです,4,,1,設備が古く感じました,5,案内が早くて助かりました,2,
R00034,2026-07-26,函館店,4,スタッフの対応がとても丁寧でした,4,,4,,4,,1,次は利用しないかもしれません
R00035,2026-07-16,函館店,5,,4,,3,設備は必要十分でした,4,,4,
R00036,2026-07-26,函館店,2,,2,,3,設備は必要十分でした,5,,1,
R00037,2026-07-28,函館店,3,普通の対応でした,2,,5,駐車場が広くて停めやすかったです,4,,1,価格の割に満足度が低いと感じました
R00038,2026-07-30,函館店,4,,1,,3,設備は必要十分でした,4,,,可もなく不可もなくという印象です
R00039,2026-07-04,函館店,4,,4,,1,空調の効きが悪かったです,1,,3,
R00040,2026-07-11,函館店,3,特に問題はありませんでした,2,匂いが気になりました,1,,1,待ち時間が長く感じました,2,
R00041,2026-08-02,函館店,1,スタッフの対応が冷たく感じました,2,床が汚れているのが気になりました,3,,4,,2,次は利用しないかもしれません
R00042,2026-08-12,函館店,4,スタッフの対応がとても丁寧でした,,,5,,1,呼んでもなかなか来てもらえませんでした,4,家族にもすすめたいです
R00043,2026-08-18,函館店,4,スタッフの対応がとても丁寧でした,4,,3,,4,,4,
R00044,2026-08-16,函館店,5,スタッフの対応がとても丁寧でした,2,,1,駐車場が狭くて停めにくかったです,5,待ち時間が少なくスムーズでした,5,家族にもすすめたいです
R00045,2026-08-01,函館店,4,質問にすぐ答えてくれて助かりました,3,清潔さは普通でした,4,,1,対応が遅く感じました,4,
R00046,2026-08-04,函館店,4,,5,,2,駐車場が狭くて停めにくかったです,4,,1,
R00047,2026-08-03,函館店,3,特に問題はありませんでした,4,清掃が行き届いていました,3,設備は必要十分でした,5,,3,可もなく不可もなくという印象です
R00048,2026-08-17,函館店,4,スタッフの対応がとても丁寧でした,5,清掃が行き届いていました,5,,3,,4,期待以上のサービスでした
R00049,2026-08-17,函館店,2,,5,清掃が行き届いていました,1,,2,対応が遅く感じました,4,家族にもすすめたいです
R00050,2026-08-10,函館店,4,,2,,1,駐車場が狭くて停めにくかったです,2,対応が遅く感じました,5,
R00051,2026-08-11,函館店,4,質問にすぐ答えてくれて助かりました,4,,1,,5,,1,
R00052,2026-08-03,函館店,4,,5,,,設備は必要十分でした,3,,1,次は利用しないかもしれません
R00053,2026-08-14,函館店,2,,4,,4,,4,,5,家族にもすすめたいです
R00054,2026-07-29,盛岡店,4,,5,,4,,4,,2,
R00055,2026-07-05,盛岡店,4,,5,,4,設備が新しく快適でした,5,案内が早くて助かりました,3,可もなく不可もなくという印象です
R00056,2026-07-05,盛岡店,4,スタッフの対応がとても丁寧でした,4,,5,,4,,2,
R00057,2026-07-18,盛岡店,2,,2,床が汚れているのが気になりました,4,,5,案内が早くて助かりました,2,
R00058,2026-07-03,盛岡店,2,,2,匂いが気になりました,5,駐車場が広くて停めやすかったです,5,,5,
R00059,2026-07-23,盛岡店,4,,1,床が汚れているのが気になりました,4,設備が新しく快適でした,3,,4,
R00060,2026-07-21,盛岡店,3,普通の対応でした,5,店内がとても清潔で気持ちよかったです,4,駐車場が広くて停めやすかったです,4,,2,次は利用しないかもしれません
R00061,2026-07-30,盛岡店,5,質問にすぐ答えてくれて助かりました,3,清潔さは普通でした,5,,4,案内が早くて助かりました,3,
R00062,2026-07-25,盛岡店,3,,5,清掃が行き届いていました,3,設備は必要十分でした,,待ち時間は許容範囲でした,3,可もなく不可もなくという印象です
R00063,2026-07-15,盛岡店,5,,3,,4,,5,,4,
R00064,2026-08-07,盛岡店,4,スタッフの対応がとても丁寧でした,5,,4,駐車場が広くて停めやすかったです,1,,5,家族にもすすめたいです
R00065,2026-08-06,盛岡店,5,,2,,5,,3,,1,
R00066,2026-08-08,盛岡店,5,笑顔で挨拶していただき気持ちよかったです,4,,5,設備が新しく快適でした,4,待ち時間が少なくスムーズでした,4,期待以上のサービスでした
R00067,2026-08-18,盛岡店,5,,3,清潔さは普通でした,5,駐車場が広くて停めやすかったです,4,,3,
R00068,2026-08-12,盛岡店,4,,2,匂いが気になりました,4,駐車場が広くて停めやすかったです,4,案内が早くて助かりました,5,
R00069,2026-08-15,盛岡店,3,,4,清掃が行き届いていました,3,設備は必要十分でした,5,待ち時間が少なくスムーズでした,5,家族にもすすめたいです
R00070,2026-08-13,盛岡店,5,,5,清掃が行き届いていました,,,4,,5,
R00071,2026-08-09,盛岡店,5,,2,匂いが気になりました,3,,4,待ち時間が少なくスムーズでした,4,また利用したいと思います
R00072,2026-08-18,盛岡店,4,,3,,3,,5,待ち時間が少なくスムーズでした,4,
R00073,2026-08-15,盛岡店,,普通の対応でした,4,,5,,3,,5,期待以上のサービスでした
R00074,2026-08-12,盛岡店,4,,2,,5,駐車場が広くて停めやすかったです,5,待ち時間が少なくスムーズでした,5,また利用したいと思います
R00075,2026-08-09,盛岡店,4,,5,,5,,4,,4,
R00076,2026-08-03,盛岡店,5,,3,,3,,5,,5,
R00077,2026-08-07,盛岡店,2,,3,,4,駐車場が広くて停めやすかったです,3,待ち時間は許容範囲でした,3,
R00078,2026-08-12,盛岡店,1,,5,,5,設備が新しく快適でした,4,,5,
R00079,2026-08-02,盛岡店,3,,3,,4,設備が新しく快適でした,5,,3,
R00080,2026-07-28,仙台店,,,4,,4,駐車場が広くて停めやすかったです,1,,4,また利用したいと思います
R00081,2026-07-29,仙台店,4,,5,,5,,2,呼んでもなかなか来てもらえませんでした,3,
R00082,2026-07-14,仙台店,5,スタッフの対応がとても丁寧でした,4,店内がとても清潔で気持ちよかったです,3,設備は必要十分でした,1,,4,
R00083,2026-07-13,仙台店,5,,5,店内がとても清潔で気持ちよかったです,5,,2,呼んでもなかなか来てもらえませんでした,3,可もなく不可もなくという印象です
R00084,2026-07-29,仙台店,3,,4,,4,,4,,5,期待以上のサービスでした
R00085,2026-07-27,仙台店,1,,5,,4,,5,案内が早くて助かりました,5,
R00086,2026-07-26,仙台店,5,,5,清掃が行き届いていました,5,,5,,3,
R00087,2026-07-14,仙台店,5,,4,,4,,5,,4,また利用したいと思います
R00088,2026-07-02,仙台店,1,,4,清掃が行き届いていました,4,,4,待ち時間が少なくスムーズでした,5,期待以上のサービスでした
R00089,2026-07-01,仙台店,3,普通の対応でした,4,,4,設備が新しく快適でした,4,,4,家族にもすすめたいです
R00090,2026-07-05,仙台店,4,,5,,4,,4,案内が早くて助かりました,5,
R00091,2026-08-05,仙台店,,,2,匂いが気になりました,5,,5,,4,家族にもすすめたいです
R00092,2026-08-03,仙台店,4,スタッフの対応がとても丁寧でした,4,,4,,4,,4,
R00093,2026-08-15,仙台店,5,質問にすぐ答えてくれて助かりました,3,,3,,5,,4,
R00094,2026-08-04,仙台店,5,,2,,5,,5,待ち時間が少なくスムーズでした,4,
R00095,2026-08-03,仙台店,5,,4,,5,,1,,4,
R00096,2026-08-16,仙台店,2,,5,,4,,5,案内が早くて助かりました,4,
R00097,2026-08-07,仙台店,3,特に問題はありませんでした,5,店内がとても清潔で気持ちよかったです,2,駐車場が狭くて停めにくかったです,3,,4,家族にもすすめたいです
R00098,2026-08-13,仙台店,3,普通の対応でした,4,店内がとても清潔で気持ちよかったです,4,,4,,5,また利用したいと思います
R00099,2026-08-05,仙台店,4,,5,店内がとても清潔で気持ちよかったです,5,,4,待ち時間が少なくスムーズでした,3,可もなく不可もなくという印象です
R00100,2026-08-08,仙台店,4,,,,5,,4,,3,可もなく不可もなくという印象です
R00101,2026-08-04,仙台店,4,笑顔で挨拶していただき気持ちよかったです,5,,4,,5,,2,次は利用しないかもしれません
R00102,2026-08-03,仙台店,2,態度が悪いスタッフがいました,4,,,設備は必要十分でした,5,,2,期待外れでした
R00103,2026-08-07,仙台店,5,,5,店内がとても清潔で気持ちよかったです,4,,4,,4,家族にもすすめたいです
R00104,2026-08-11,仙台店,4,,5,,4,駐車場が広くて停めやすかったです,3,,2,価格の割に満足度が低いと感じました
R00105,2026-08-07,仙台店,4,,5,店内がとても清潔で気持ちよかったです,4,,4,,4,また利用したいと思います
R00106,2026-08-15,仙台店,3,,,清潔さは普通でした,2,設備が古く感じました,1,,3,
R00107,2026-08-10,仙台店,4,,1,床が汚れているのが気になりました,4,,3,待ち時間は許容範囲でした,3,可もなく不可もなくという印象です
R00108,2026-07-29,郡山店,1,態度が悪いスタッフがいました,4,店内がとても清潔で気持ちよかったです,3,,5,案内が早くて助かりました,5,
R00109,2026-07-03,郡山店,4,笑顔で挨拶していただき気持ちよかったです,5,,,設備は必要十分でした,5,待ち時間が少なくスムーズでした,4,期待以上のサービスでした
R00110,2026-07-01,郡山店,5,,4,店内がとても清潔で気持ちよかったです,4,駐車場が広くて停めやすかったです,4,,1,
R00111,2026-07-02,郡山店,4,,4,,2,,5,案内が早くて助かりました,5,また利用したいと思います
R00112,2026-07-06,郡山店,2,,2,匂いが気になりました,3,,4,,3,
R00113,2026-07-14,郡山店,3,特に問題はありませんでした,3,清潔さは普通でした,4,設備が新しく快適でした,,待ち時間は許容範囲でした,3,
R00114,2026-07-14,郡山店,4,,5,店内がとても清潔で気持ちよかったです,5,駐車場が広くて停めやすかったです,3,,4,
R00115,2026-07-13,郡山店,2,スタッフの対応が冷たく感じました,1,,5,駐車場が広くて停めやすかったです,5,,4,
R00116,2026-08-08,郡山店,3,,3,清潔さは普通でした,5,,4,案内が早くて助かりました,4,期待以上のサービスでした
R00117,2026-08-07,郡山店,4,,2,,1,,5,,4,
R00118,2026-08-12,郡山店,3,,5,,3,,5,,4,
R00119,2026-08-12,郡山店,4,スタッフの対応がとても丁寧でした,5,,5,駐車場が広くて停めやすかったです,5,待ち時間が少なくスムーズでした,5,
R00120,2026-08-02,郡山店,1,,5,,4,,5,待ち時間が少なくスムーズでした,2,
R00121,2026-08-08,郡山店,2,説明が分かりにくかったです,5,,3,,4,,5,期待以上のサービスでした
R00122,2026-08-10,郡山店,4,スタッフの対応がとても丁寧でした,5,清掃が行き届いていました,3,設備は必要十分でした,5,案内が早くて助かりました,1,
R00123,2026-08-01,郡山店,3,,5,,5,,5,,5,
R00124,2026-08-17,郡山店,4,スタッフの対応がとても丁寧でした,5,清掃が行き届いていました,4,設備が新しく快適でした,3,,1,
R00125,2026-08-03,郡山店,3,,4,清掃が行き届いていました,4,,4,,3,
R00126,2026-08-05,郡山店,4,,3,,4,設備が新しく快適でした,4,,3,
R00127,2026-08-09,郡山店,3,特に問題はありませんでした,4,,3,,5,,5,期待以上のサービスでした
R00128,2026-08-17,郡山店,5,質問にすぐ答えてくれて助かりました,5,,3,,4,,4,家族にもすすめたいです
R00129,2026-08-14,郡山店,5,,5,店内がとても清潔で気持ちよかったです,5,駐車場が広くて停めやすかったです,5,,5,家族にもすすめたいです
R00130,2026-08-15,郡山店,1,,4,,,,5,,4,
R00131,2026-08-18,郡山店,4,質問にすぐ答えてくれて助かりました,5,,5,設備が新しく快適でした,4,,4,
R00132,2026-08-15,郡山店,5,スタッフの対応がとても丁寧でした,5,,,設備は必要十分でした,5,案内が早くて助かりました,5,家族にもすすめたいです
R00133,2026-07-11,水戸店,4,笑顔で挨拶していただき気持ちよかったです,3,,4,駐車場が広くて停めやすかったです,4,,4,また利用したいと思います
R00134,2026-07-18,水戸店,4,,4,,3,設備は必要十分でした,5,待ち時間が少なくスムーズでした,5,
R00135,2026-07-05,水戸店,4,,2,匂いが気になりました,5,,2,呼んでもなかなか来てもらえませんでした,3,
R00136,2026-07-31,水戸店,4,,5,,4,設備が新しく快適でした,5,,5,期待以上のサービスでした
R00137,2026-07-21,水戸店,4,質問にすぐ答えてくれて助かりました,,,3,,4,,5,また利用したいと思います
R00138,2026-07-02,水戸店,5,質問にすぐ答えてくれて助かりました,3,,4,設備が新しく快適でした,3,待ち時間は許容範囲でした,,
R00139,2026-07-04,水戸店,4,,5,店内がとても清潔で気持ちよかったです,3,,3,,5,また利用したいと思います
R00140,2026-07-07,水戸店,4,,5,,4,設備が新しく快適でした,5,,4,期待以上のサービスでした
R00141,2026-08-02,水戸店,5,,5,清掃が行き届いていました,4,,5,,4,また利用したいと思います
R00142,2026-08-17,水戸店,3,普通の対応でした,4,,5,,1,待ち時間が長く感じました,5,
R00143,2026-08-08,水戸店,5,質問にすぐ答えてくれて助かりました,4,,4,,5,待ち時間が少なくスムーズでした,5,期待以上のサービスでした
R00144,2026-08-18,水戸店,5,質問にすぐ答えてくれて助かりました,5,,3,,1,対応が遅く感じました,5,
R00145,2026-08-18,水戸店,4,質問にすぐ答えてくれて助かりました,5,,1,空調の効きが悪かったです,4,,5,また利用したいと思います
R00146,2026-08-16,水戸店,4,,4,店内がとても清潔で気持ちよかったです,5,,5,,4,
R00147,2026-08-09,水戸店,4,笑顔で挨拶していただき気持ちよかったです,4,,1,空調の効きが悪かったです,4,,5,家族にもすすめたいです
R00148,2026-08-09,水戸店,5,,5,,5,,4,待ち時間が少なくスムーズでした,5,
R00149,2026-08-13,水戸店,4,,5,店内がとても清潔で気持ちよかったです,3,,4,案内が早くて助かりました,4,
R00150,2026-08-09,水戸店,4,質問にすぐ答えてくれて助かりました,4,,3,,4,案内が早くて助かりました,3,可もなく不可もなくという印象です
R00151,2026-08-18,水戸店,,,4,清掃が行き届いていました,3,,4,,1,期待外れでした
R00152,2026-08-06,水戸店,4,,3,清潔さは普通でした,4,,5,,4,
R00153,2026-07-08,宇都宮店,3,特に問題はありませんでした,3,,5,,5,,3,
R00154,2026-07-21,宇都宮店,4,スタッフの対応がとても丁寧でした,5,店内がとても清潔で気持ちよかったです,3,,4,,3,
R00155,2026-07-08,宇都宮店,3,,4,店内がとても清潔で気持ちよかったです,2,空調の効きが悪かったです,4,,4,期待以上のサービスでした
R00156,2026-07-03,宇都宮店,4,スタッフの対応がとても丁寧でした,5,清掃が行き届いていました,4,,4,,5,
R00157,2026-07-03,宇都宮店,5,,3,清潔さは普通でした,4,,5,,2,
R00158,2026-07-10,宇都宮店,2,,5,清掃が行き届いていました,5,駐車場が広くて停めやすかったです,5,,4,
R00159,2026-07-12,宇都宮店,4,笑顔で挨拶していただき気持ちよかったです,4,,3,,5,,4,
R00160,2026-07-07,宇都宮店,4,質問にすぐ答えてくれて助かりました,4,,4,設備が新しく快適でした,4,案内が早くて助かりました,3,可もなく不可もなくという印象です
R00161,2026-07-15,宇都宮店,5,,5,清掃が行き届いていました,4,駐車場が広くて停めやすかったです,5,,4,
R00162,2026-07-18,宇都宮店,5,,3,,4,駐車場が広くて停めやすかったです,5,,4,期待以上のサービスでした
R00163,2026-07-01,宇都宮店,4,,5,店内がとても清潔で気持ちよかったです,5,設備が新しく快適でした,1,対応が遅く感じました,1,
R00164,2026-08-01,宇都宮店,4,,4,,3,設備は必要十分でした,,,5,
R00165,2026-08-02,宇都宮店,4,,4,店内がとても清潔で気持ちよかったです,2,,4,,4,
R00166,2026-08-15,宇都宮店,4,,3,,5,,4,,,
R00167,2026-08-12,宇都宮店,4,,5,,4,,,待ち時間は許容範囲でした,4,また利用したいと思います
R00168,2026-08-13,宇都宮店,,,5,,4,,5,待ち時間が少なくスムーズでした,4,
R00169,2026-08-18,宇都宮店,4,,5,,4,駐車場が広くて停めやすかったです,4,,3,可もなく不可もなくという印象です
R00170,2026-08-08,宇都宮店,5,,5,店内がとても清潔で気持ちよかったです,5,,5,,4,期待以上のサービスでした
R00171,2026-08-10,宇都宮店,1,説明が分かりにくかったです,3,,4,設備が新しく快適でした,1,,5,期待以上のサービスでした
R00172,2026-08-16,宇都宮店,4,,4,,4,,2,,5,
R00173,2026-08-12,宇都宮店,3,普通の対応でした,5,,5,,5,案内が早くて助かりました,2,次は利用しないかもしれません
R00174,2026-07-31,前橋店,4,質問にすぐ答えてくれて助かりました,5,店内がとても清潔で気持ちよかったです,,設備は必要十分でした,5,,1,次は利用しないかもしれません
R00175,2026-07-08,前橋店,4,質問にすぐ答えてくれて助かりました,3,,4,駐車場が広くて停めやすかったです,5,,5,また利用したいと思います
R00176,2026-07-10,前橋店,1,,4,清掃が行き届いていました,5,駐車場が広くて停めやすかったです,5,案内が早くて助かりました,2,
R00177,2026-07-02,前橋店,5,笑顔で挨拶していただき気持ちよかったです,1,,2,,4,,4,
R00178,2026-07-22,前橋店,5,,4,,4,,2,,4,また利用したいと思います
R00179,2026-07-28,前橋店,4,スタッフの対応がとても丁寧でした,5,,1,,2,,3,
R00180,2026-07-08,前橋店,5,,4,,5,設備が新しく快適でした,1,,5,
R00181,2026-07-21,前橋店,1,態度が悪いスタッフがいました,5,店内がとても清潔で気持ちよかったです,3,,4,,1,次は利用しないかもしれません
R00182,2026-07-30,前橋店,5,,4,清掃が行き届いていました,3,設備は必要十分でした,4,待ち時間が少なくスムーズでした,1,
R00183,2026-07-29,前橋店,3,,1,匂いが気になりました,1,駐車場が狭くて停めにくかったです,3,,5,また利用したいと思います
R00184,2026-07-14,前橋店,4,,4,,5,駐車場が広くて停めやすかったです,5,案内が早くて助かりました,5,
R00185,2026-07-08,前橋店,5,,5,清掃が行き届いていました,5,,,待ち時間は許容範囲でした,5,家族にもすすめたいです
R00186,2026-07-22,前橋店,4,質問にすぐ答えてくれて助かりました,2,,5,設備が新しく快適でした,5,,1,次は利用しないかもしれません
R00187,2026-07-16,前橋店,2,,4,店内がとても清潔で気持ちよかったです,4,,3,,4,
R00188,2026-07-25,前橋店,4,,1,,2,駐車場が狭くて停めにくかったです,5,,,
R00189,2026-07-28,前橋店,1,説明が分かりにくかったです,4,,5,設備が新しく快適でした,5,案内が早くて助かりました,5,
R00190,2026-07-12,前橋店,5,,5,,3,,3,,5,家族にもすすめたいです
R00191,2026-08-03,前橋店,4,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,4,駐車場が広くて停めやすかったです,1,,3,可もなく不可もなくという印象です
R00192,2026-08-18,前橋店,5,質問にすぐ答えてくれて助かりました,4,店内がとても清潔で気持ちよかったです,5,駐車場が広くて停めやすかったです,4,,3,
R00193,2026-08-03,前橋店,4,,5,店内がとても清潔で気持ちよかったです,2,,,,1,次は利用しないかもしれません
R00194,2026-08-15,前橋店,5,笑顔で挨拶していただき気持ちよかったです,4,,5,設備が新しく快適でした,5,案内が早くて助かりました,4,期待以上のサービスでした
R00195,2026-08-04,前橋店,4,,4,店内がとても清潔で気持ちよかったです,5,設備が新しく快適でした,5,,4,期待以上のサービスでした
R00196,2026-08-03,前橋店,5,,4,,4,駐車場が広くて停めやすかったです,1,,5,また利用したいと思います
R00197,2026-08-12,前橋店,5,,5,店内がとても清潔で気持ちよかったです,4,駐車場が広くて停めやすかったです,5,,5,
R00198,2026-08-01,前橋店,4,笑顔で挨拶していただき気持ちよかったです,1,,4,,4,,3,
R00199,2026-08-14,前橋店,1,態度が悪いスタッフがいました,3,,1,,5,,2,
R00200,2026-08-14,前橋店,5,スタッフの対応がとても丁寧でした,4,清掃が行き届いていました,4,,4,待ち時間が少なくスムーズでした,5,
R00201,2026-07-30,さいたま店,2,,3,,5,設備が新しく快適でした,4,案内が早くて助かりました,5,
R00202,2026-07-06,さいたま店,1,説明が分かりにくかったです,3,,3,,5,,2,
R00203,2026-07-15,さいたま店,5,,5,,4,,5,,4,
R00204,2026-07-12,さいたま店,4,,4,清掃が行き届いていました,1,,1,,4,
R00205,2026-07-31,さいたま店,4,,3,清潔さは普通でした,3,設備は必要十分でした,5,,4,家族にもすすめたいです
R00206,2026-07-21,さいたま店,5,笑顔で挨拶していただき気持ちよかったです,1,匂いが気になりました,4,,3,待ち時間は許容範囲でした,4,また利用したいと思います
R00207,2026-07-24,さいたま店,5,,2,匂いが気になりました,5,,3,待ち時間は許容範囲でした,4,期待以上のサービスでした
R00208,2026-07-17,さいたま店,2,挨拶がなく残念でした,,,2,駐車場が狭くて停めにくかったです,4,,1,
R00209,2026-07-01,さいたま店,2,,5,店内がとても清潔で気持ちよかったです,1,空調の効きが悪かったです,1,,5,
R00210,2026-07-30,さいたま店,1,,,,3,,5,,1,
R00211,2026-07-19,さいたま店,1,,2,,,設備は必要十分でした,2,待ち時間が長く感じました,3,
R00212,2026-07-16,さいたま店,5,,,清潔さは普通でした,5,設備が新しく快適でした,2,,5,
R00213,2026-07-27,さいたま店,4,,2,,3,設備は必要十分でした,2,,5,また利用したいと思います
R00214,2026-07-06,さいたま店,4,,4,,5,,,,4,また利用したいと思います
R00215,2026-08-02,さいたま店,5,,5,清掃が行き届いていました,5,,5,案内が早くて助かりました,5,
R00216,2026-08-04,さいたま店,4,質問にすぐ答えてくれて助かりました,4,店内がとても清潔で気持ちよかったです,4,,3,,4,
R00217,2026-08-09,さいたま店,5,,5,,4,駐車場が広くて停めやすかったです,3,,2,
R00218,2026-08-13,さいたま店,2,説明が分かりにくかったです,4,,5,,5,案内が早くて助かりました,5,
R00219,2026-08-06,さいたま店,1,説明が分かりにくかったです,4,,1,駐車場が狭くて停めにくかったです,,,3,
R00220,2026-08-03,さいたま店,2,説明が分かりにくかったです,4,,4,,4,案内が早くて助かりました,4,
R00221,2026-08-10,さいたま店,4,,4,,2,空調の効きが悪かったです,5,案内が早くて助かりました,5,
R00222,2026-08-09,さいたま店,,普通の対応でした,5,清掃が行き届いていました,5,設備が新しく快適でした,1,,,
R00223,2026-08-18,さいたま店,1,,3,清潔さは普通でした,1,,2,呼んでもなかなか来てもらえませんでした,5,期待以上のサービスでした
R00224,2026-08-17,さいたま店,4,,2,,4,駐車場が広くて停めやすかったです,1,,3,可もなく不可もなくという印象です
R00225,2026-08-10,さいたま店,,,2,,5,,1,待ち時間が長く感じました,5,
R00226,2026-08-06,さいたま店,5,質問にすぐ答えてくれて助かりました,4,,5,,4,,5,
R00227,2026-08-06,さいたま店,3,普通の対応でした,5,,2,,5,,4,
R00228,2026-08-06,さいたま店,5,,4,店内がとても清潔で気持ちよかったです,3,設備は必要十分でした,3,,1,
R00229,2026-08-04,さいたま店,5,,2,トイレの清掃が行き届いていませんでした,1,,4,待ち時間が少なくスムーズでした,5,
R00230,2026-08-13,さいたま店,4,,5,店内がとても清潔で気持ちよかったです,3,設備は必要十分でした,5,案内が早くて助かりました,5,
R00231,2026-07-24,千葉店,4,,4,店内がとても清潔で気持ちよかったです,4,,3,待ち時間は許容範囲でした,4,
R00232,2026-07-30,千葉店,4,,5,,5,駐車場が広くて停めやすかったです,5,,5,
R00233,2026-07-28,千葉店,4,,4,店内がとても清潔で気持ちよかったです,1,,4,,4,
R00234,2026-07-13,千葉店,5,スタッフの対応がとても丁寧でした,2,,,設備は必要十分でした,5,案内が早くて助かりました,3,
R00235,2026-07-30,千葉店,3,特に問題はありませんでした,2,,4,,4,,4,家族にもすすめたいです
R00236,2026-07-28,千葉店,3,普通の対応でした,3,,2,,4,案内が早くて助かりました,4,家族にもすすめたいです
R00237,2026-07-29,千葉店,4,スタッフの対応がとても丁寧でした,5,清掃が行き届いていました,5,設備が新しく快適でした,3,待ち時間は許容範囲でした,1,
R00238,2026-07-13,千葉店,5,,2,床が汚れているのが気になりました,3,,,待ち時間は許容範囲でした,4,期待以上のサービスでした
R00239,2026-07-21,千葉店,4,,4,,1,,4,,4,
R00240,2026-07-16,千葉店,5,,4,,4,,4,,5,家族にもすすめたいです
R00241,2026-07-11,千葉店,1,,3,清潔さは普通でした,3,設備は必要十分でした,5,,3,
R00242,2026-07-26,千葉店,,,4,,4,設備が新しく快適でした,,,2,期待外れでした
R00243,2026-08-09,千葉店,3,,4,,3,,5,,4,また利用したいと思います
R00244,2026-08-13,千葉店,5,,4,清掃が行き届いていました,2,,5,待ち時間が少なくスムーズでした,3,
R00245,2026-08-01,千葉店,1,,4,,5,,2,対応が遅く感じました,4,
R00246,2026-08-10,千葉店,5,,1,,5,設備が新しく快適でした,4,,3,
R00247,2026-08-03,千葉店,4,笑顔で挨拶していただき気持ちよかったです,4,清掃が行き届いていました,4,駐車場が広くて停めやすかったです,,待ち時間は許容範囲でした,4,
R00248,2026-08-09,千葉店,5,,4,清掃が行き届いていました,1,,5,案内が早くて助かりました,4,また利用したいと思います
R00249,2026-08-03,千葉店,5,,4,,4,駐車場が広くて停めやすかったです,5,案内が早くて助かりました,5,
